Rank;﻿Country Name (English);Language(s);Country Name (Native Tongue)
1;Afghanistan;Dari, Pashto;Afghanestan
2;Albania;Albanian;Shqipëria
3;Algeria;Arabic, Berber;Dzayer
4;Andorra;Catalan;Andorra
5;Angola;Kongo, Portuguese;Angola
6;Antigua and Barbuda;English;Antigua and Barbuda
7;Argentina;Spanish;Argentina
8;Armenia;Armenian;Hayastán
9;Australia;English;Australia
10;Austria;German;Österreich
11;Azerbaijan;Azerbaijani;Azərbaycan
12;The Bahamas;English;The Bahamas
13;Bahrain;Arabic, Berber;Al-Bahrayn
14;Bangladesh;Bengali;Bangladesh
15;Barbados;English;Barbados
16;Belarus;Belarusian;Bielaruś, Беларусь
17;Belgium;Dutch, French, German;België, Belgique, Belgien
18;Belize;English;Belize
19;Benin;French;Bénin
20;Bhutan;Dzongkha;Druk Yul
21;Bolivia;Aymara, Guaraní, Quechua, Spanish;Bolivia
22;Bosnia and Herzegovina;Bosnian, Serbian, Croatian;Bosnia I Hercegovína
23;Botswana;English, Tswana;Botswana
24;Brazil;Portuguese;Brasil
25;Brunei;Malay;Brunei
26;Bulgaria;Bulgarian;Bulgariya,
27;Burkina Faso;French;Burkina Faso
28;Burundi;French, Kirundi;Burundi, Uburundi
29;Cambodia;Khmer;Kampuchea
30;Cameroon;English, French;Cameroon
31;Canada;English, French;Canada
32;Cape Verde;Portuguese;Cabo Verde
33;Central African Republic;French, sango;République Centrafricaine
34;Chad;Arabic, French;Tchad
35;Chile;Spanish;Chile
36;China;Mandarin Chinese;Zhōngguó
37;Colombia;Spanish;Colombia
38;Comoros;Arabic, French, Shikomor;Comores Koromi
39;Republic of the Congo;French, Lingala;République du Congo
40;Democratic Republic of the Congo;French, Lingala, Swahili;République démocratique du Congo
41;Costa Rica;Spanish;Costa Rica
42;'Côte d''Ivoire';French;'Côte d''Ivoire'
43;Croatia;Croatian;Hrvatska
44;Cuba;Spanish;Cuba
45;Cyprus;Greek, Turkish;Κύπρος Kıbrıs
46;Czech;Czech;Česko
47;Denmark;Danish;Danmark
48;Djibuti;Arabic, French;Djibouti
49;Dominica Republic;Spanish;República Dominicana
50;East Timor;Portuguese, Tetum;Timor-Lester
51;Ecuador;Spanish;Ecuador
52;Egypt;Arabic;Misr
53;El Salvador;Spanish;El Salvador
54;Equatorial Guinea;Spanish;Guinea Ecuatorial
55;Eritrea;Arabic, Tigrinya;Iritriya
56;Estonia;Estonian;Eesti
57;Eswatini;English, Swazi;Eswatini
58;Ethiopia;Amharic;'Ityop''ia'
59;Fiji;English, Fijian, Fiji Hindi;Fiji
60;Finland;Finnish, Swedish;Suomi
61;France;French;France
62;Gabon;French;République gabonaise
63;The Gambia;English;The Gambia
64;Georgia;Georgian;'Sak''art''velo'
65;Germany;German;Deutschland
66;Ghana;Akan, English, Ewe, Twi;Gaana
67;Greece;Greek;Hellas Ελλάς
68;Grenada;English;Grenada
69;Guatemala;Spanish;Guatemala
70;Guinea;French, Manika, Pular;Guinée
71;Guyana;English;Guyana
72;Haiti;French, Haitian Creole;Haïti
73;Honduras;Spanish;Honduras
74;Hong Kong;English, Cantonese;Hong Kong
75;Hungary;Hungarian;Magyarország
76;Iceland;Icelandic;Ísland
